date,min_relative_humidity_v,max_relative_humidity_v,min_temperature_v,max_temperature_v,precipitation_v
2019-11-03,71.02,93.92,4.86,11,5.69
2019-11-02,71.09,93.93,4.99,11.11,5.6
2019-11-01,70.98,93.94,5.1,11.21,5.58
2019-10-31,70.87,93.95,5.12,11.31,5.47
2019-10-30,70.79,93.97,5.21,11.44,5.35
2019-10-29,70.91,93.99,5.35,11.59,5.15
2019-10-28,71.24,94.01,5.52,11.74,5.22
2019-10-27,71.43,94.07,5.73,11.92,5.16
2019-10-26,71.7,94.11,5.95,12.11,4.77
2019-10-25,72.08,94.16,6.17,12.26,4.68
2019-10-24,72.21,94.13,6.42,12.43,4.95
2019-10-23,72.36,94.18,6.55,12.59,4.99
2019-10-22,72.5,94.33,6.67,12.73,4.87
2019-10-21,72.82,94.26,6.85,12.84,4.83
2019-10-20,72.93,94.25,6.96,12.98,4.7
2019-10-19,72.77,94.18,7.1,13.12,4.86
2019-10-18,72.22,93.99,7.16,13.26,4.72
2019-10-17,71.89,93.88,7.27,13.41,4.58
2019-10-16,71.71,93.85,7.4,13.58,4.61
2019-10-15,71.45,93.79,7.54,13.72,4.47
2019-10-14,71.1,93.67,7.67,13.89,4.21
2019-10-13,70.72,93.59,7.76,14.05,4.09
2019-10-12,70.24,93.43,7.82,14.18,3.88
2019-10-11,69.63,93.33,7.84,14.34,3.84
2019-10-10,69.21,93.26,7.85,14.49,3.7
2019-10-09,68.9,93.22,7.91,14.62,3.23
2019-10-08,68.56,93.16,8.04,14.82,2.89
2019-10-07,68.23,93.1,8.25,15.03,2.8
2019-10-06,68.03,93.11,8.4,15.23,2.77
2019-10-05,67.67,93.07,8.52,15.5,2.61
2019-10-04,67.64,93.12,8.69,15.72,2.37
2019-10-03,67.68,93.25,8.91,15.98,2.47
2019-10-02,67.55,93.25,9.04,16.22,2.41
2019-10-01,67.36,93.23,9.18,16.42,2.32
2019-09-30,67.12,93.12,9.28,16.66,2.19
2019-09-29,66.68,93.03,9.39,16.87,2.23
2019-09-28,66.31,92.99,9.5,17.07,2.19
2019-09-27,66.43,93.06,9.67,17.23,2.26
2019-09-26,66.32,93,9.9,17.4,2.33
2019-09-25,66.14,92.97,10.12,17.61,2.47
2019-09-24,65.93,92.96,10.3,17.82,2.47
2019-09-23,65.82,92.85,10.45,17.96,2.61
2019-09-22,65.58,92.76,10.58,18.15,2.53
2019-09-21,65.26,92.69,10.69,18.32,2.37
2019-09-20,65.02,92.52,10.81,18.42,2.26
2019-09-19,64.63,92.3,10.93,18.58,2.27
2019-09-18,64.12,92.13,11.02,18.75,2.05
2019-09-17,63.87,92,11.13,18.88,2.1
2019-09-16,63.59,91.87,11.25,18.99,2.13
2019-09-15,63.34,91.82,11.39,19.11,2.15
2019-09-14,63.33,91.82,11.52,19.19,2.09
2019-09-13,62.99,91.65,11.64,19.36,2.03
2019-09-12,62.4,91.49,11.72,19.53,1.94
2019-09-11,62.12,91.27,11.78,19.68,1.71
2019-09-10,61.74,91.13,11.85,19.84,1.47
2019-09-09,61.26,90.91,11.88,20,1.41
2019-09-08,60.84,90.74,11.95,20.13,1.17
2019-09-07,60.72,90.64,12.03,20.2,1.27
2019-09-06,60.5,90.5,12.15,20.31,1.38
2019-09-05,60.38,90.46,12.31,20.46,1.53
2019-09-04,60.33,90.37,12.43,20.57,1.56
2019-09-03,60.02,90.13,12.54,20.69,1.64
2019-09-02,59.63,90.04,12.63,20.83,1.62
2019-09-01,59.41,89.84,12.71,20.95,1.56
2019-08-31,59.08,89.62,12.74,21.03,1.52
2019-08-30,58.74,89.33,12.82,21.12,1.45
2019-08-29,58.61,89.2,12.93,21.21,1.48
2019-08-28,58.55,89.08,13.06,21.31,1.59
2019-08-27,58.2,89.06,13.18,21.45,1.65
2019-08-26,58.17,88.93,13.33,21.56,1.57
2019-08-25,58.41,88.97,13.47,21.64,1.52
2019-08-24,58.38,88.96,13.58,21.81,1.53
