SIZE_HA	FIRE_DATE	FEAT_AREA	FEAT_LEN
146.8	19310428	1468003.472	4648.8423
259.3	19340802	2593927.296	7735.5226
15.5	19380429	155335.4949	2078.1666
201.5	19370606	2015261.685	9175.9258
0.4	19330817	4154.5935	242.2793
14.4	19330817	144938.9314	1606.5896
0.4	19330817	4118.7527	278.8346
0.5	19330817	5623.1805	292.4415
49.9	19310429	499176.7611	3334.9762
25.6	19330810	256133.2638	2172.9017
1750.6	19360722	17506151.18	26872.0132
182.2	19390803	1822942.194	7680.5063
10.7	19390801	107718.3517	1569.3365
353.6	19310730	3536691.693	8274.9386
10.4	19320807	104115.9346	1270.318
100.8	19310721	1008764.995	4002.0313
75.7	19340811	757301.1903	3532.4831
110.6	19340818	1106069.874	4354.5962
19.9	19310731	199070.8698	1867.3115
4.1	19350529	41875.1736	785.1134
195.6	19380826	1956577.745	6744.9946
23	19310818	230501.5604	1746.3809
3.7	19380916	37333.0763	701.5281
8.7	19320617	87704.6578	1199.6235
13.7	19310421	137015.1676	1491.2007
2.4	19360623	24582.1797	562.7486
2.2	19360623	22373.0678	543.7004
422	19340727	4220576.001	8953.1292
1517.5	19380610	15175037.55	20426.619
56.6	20070516	566061.2287	3771.5939
1510.4	19320723	15104950.54	18343.1953
1459.4	19360626	14594470.55	18668.3349
6.5	19350908	65216.3356	1042.2119
15	19310427	150600.5857	1655.3014
73.6	19310428	736064.4404	3332.0866
2.1	19390819	21679.7015	554.6395
2124.4	19330720	21244409.17	21935.6888
2.5	19330720	25265.3695	586.1783
42.3	19370723	423423.4229	2452.3126
1.3	19340727	13350.6852	466.9199
582.5	19330726	5825325.281	9789.6165
18	19340727	180555.6776	1838.644
192.2	19310821	1922797.055	6033.9206
15	19370601	150784.9784	1740.6358
7.6	19390514	76382.1698	997.4242
8.4	19380429	84381.2884	1596.7732
1.5	19380809	15513.8817	458.9807
30.3	19380809	303676.9744	2175.5142
16.4	20070516	164844.5995	1702.9683
2.7	19380601	27653.4537	614.3703
8.9	20070516	89327.8485	1185.0258
3.9	19330513	39914.3928	725.1452
8.1	19350819	81549.0012	1104.3551
77.4	19350822	774242.7797	3424.8052
6.8	19380611	68040.4281	977.4346
2.2	19320726	22676.0643	589.3386
2.3	19320728	23382.3669	569.9536
10.8	19330727	108172.7048	1351.793
28.6	19320727	286238.9567	2592.4577
8.3	19370502	83985.7905	1169.5024
35.6	19380623	356360.1813	2835.4423
5.4	19380621	54702.3557	889.4586
23.3	19340727	233119.4466	1762.5611
8.3	19340727	83222.6574	1314.1634
5.7	19340727	57331.7314	908.9757
0.9	19340727	9070.4736	363.1923
0.7	19340730	7370.9787	316.9581
0.7	19340730	7060.8356	310.2142
933.6	19360723	9336276.556	13525.6266
27.3	19330810	273301.0012	2177.9777
14.6	19340810	146786.8543	1415.6186
635.7	19330826	6357312.359	10663.2445
148.1	19330824	1481561.279	5421.9146
1275.1	19380716	12751018.85	28266.1505
15.7	19340823	157477.5985	1439.6059
30.7	19380723	307781.4129	2423.928
82.3	19360529	823599.7588	3897.3805
42.4	19390828	424580.8957	2552.4999
379.7	19340828	3797571.056	8163.2118
70.7	19310729	707332.7457	4372.3788
254.5	19340825	2545741.679	10640.8567
445	19390805	4450817.016	9458.0268
343	19380713	3430102.984	8213.5489
395.2	19360808	3952846.412	9571.664
46.6	19360809	466666.8102	3175.1009
28.3	19380817	283582.5266	2989.1122
10.8	19310823	108305.566	1243.8289
10.9	19380810	109901.0415	1726.4907
46.1	19380810	461559.3137	2637.8106
443	20070516	4430701.417	10164.6832
3.6	19380914	36173.6697	722.5708
864.5	19380713	8645012.539	13264.1982
149.1	19380713	1491793.021	5207.7665
1121.7	19380713	11217058.41	16048.235
249.9	19380713	2499265.71	8516.8216
370.1	19390819	3701061.801	8270.2342
31.1	19310921	311188.5237	2770.7689
7.5	20070516	75493.6979	1014.717
40.2	19310423	402429.2146	2906.2747
15.9	19320617	159308.8442	1851.5687
21.9	19380811	219763.6021	1824.9911
7.8	19380915	78257.3172	1399.448
27.6	19340424	276950.58	2458.8476
1.4	20070516	14458.7011	460.5611
8.1	19320627	81230.9711	1187.598
2.2	19340420	22937.1891	591.7638
0.5	19340420	5342.4052	268.1554
26.8	19310803	268685.3452	1882.315
64.2	19310803	642764.0249	3944.8943
58.2	19390428	582535.0334	3461.9825
4.8	19360620	48446.3162	867.6322
110.8	19380602	1108006.57	4788.4587
0.9	19370706	9952.6803	367.679
69.2	19330726	692521.469	4638.5811
20	19330727	200005.0317	2205.1184
15.8	19380607	158095.5125	1686.5991
2221.6	19310719	22216007.63	29733.6792
1.4	19380623	14340.8877	474.6076
2.9	19360722	29317.7277	636.1225
5.8	19370904	58803.0366	905.3901
